// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 9 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/" /p:OutDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:OutputPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:PublishDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/publish/" in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1
// command took 1 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/" /p:OutDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:OutputPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:PublishDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/publish/" --output "/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1
// command took 6.78 sec and exited with 0
// ***** Done, took 00:00:07 (7.85 sec)   *****
// Found 9 benchmarks:
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]

// **************************
// Benchmark: ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
// *** Execute ***
// Launch: 1 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.Sequential(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 0 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

WorkloadResult   1: 1024 op, 643441895.50 ns, 628.3612 us/op
WorkloadResult   2: 1024 op, 637839020.50 ns, 622.8897 us/op
WorkloadResult   3: 1024 op, 636565145.50 ns, 621.6456 us/op
WorkloadResult   4: 1024 op, 637267562.50 ns, 622.3316 us/op
WorkloadResult   5: 1024 op, 637370395.50 ns, 622.4320 us/op
WorkloadResult   6: 1024 op, 637097311.50 ns, 622.1653 us/op
WorkloadResult   7: 1024 op, 637791229.50 ns, 622.8430 us/op
WorkloadResult   8: 1024 op, 637331062.50 ns, 622.3936 us/op
WorkloadResult   9: 1024 op, 638717186.50 ns, 623.7473 us/op
WorkloadResult  10: 1024 op, 637994270.50 ns, 623.0413 us/op
WorkloadResult  11: 1024 op, 639317686.50 ns, 624.3337 us/op
WorkloadResult  12: 1024 op, 643072270.50 ns, 628.0003 us/op
WorkloadResult  13: 1024 op, 640445853.50 ns, 625.4354 us/op
// GC:  502 0 0 3149671504 1024
// Threading:  0 0 1024

// AfterAll
// Benchmark Process 88298 has exited with code 0.
// Launch: 2 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.Sequential(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 0 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

OverheadJitting  1: 1 op, 102500.00 ns, 102.5000 us/op
WorkloadJitting  1: 1 op, 3578583.00 ns, 3.5786 ms/op

OverheadJitting  2: 16 op, 262833.00 ns, 16.4271 us/op
WorkloadJitting  2: 16 op, 19562958.00 ns, 1.2227 ms/op

WorkloadPilot    1: 16 op, 18785083.00 ns, 1.1741 ms/op
WorkloadPilot    2: 32 op, 38261750.00 ns, 1.1957 ms/op
WorkloadPilot    3: 64 op, 75233084.00 ns, 1.1755 ms/op
WorkloadPilot    4: 128 op, 147888750.00 ns, 1.1554 ms/op
WorkloadPilot    5: 256 op, 200134625.00 ns, 781.7759 us/op
WorkloadPilot    6: 512 op, 324887375.00 ns, 634.5457 us/op
WorkloadPilot    7: 1024 op, 649745917.00 ns, 634.5175 us/op

OverheadWarmup   1: 1024 op, 3666.00 ns, 3.5801 ns/op
OverheadWarmup   2: 1024 op, 2209.00 ns, 2.1572 ns/op
OverheadWarmup   3: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadWarmup   4: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadWarmup   5: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadWarmup   6: 1024 op, 2416.00 ns, 2.3594 ns/op

OverheadActual   1: 1024 op, 2542.00 ns, 2.4824 ns/op
OverheadActual   2: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual   3: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadActual   4: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual   5: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadActual   6: 1024 op, 2417.00 ns, 2.3604 ns/op
OverheadActual   7: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual   8: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual   9: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual  10: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  11: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual  12: 1024 op, 2334.00 ns, 2.2793 ns/op
OverheadActual  13: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual  14: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual  15: 1024 op, 2209.00 ns, 2.1572 ns/op
OverheadActual  16: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual  17: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  18: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  19: 1024 op, 2167.00 ns, 2.1162 ns/op

WorkloadWarmup   1: 1024 op, 647607542.00 ns, 632.4292 us/op
WorkloadWarmup   2: 1024 op, 645669708.00 ns, 630.5368 us/op
WorkloadWarmup   3: 1024 op, 646032125.00 ns, 630.8907 us/op
WorkloadWarmup   4: 1024 op, 649696791.00 ns, 634.4695 us/op
WorkloadWarmup   5: 1024 op, 646624416.00 ns, 631.4692 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 643917291.00 ns, 628.8255 us/op
WorkloadActual   2: 1024 op, 642238042.00 ns, 627.1856 us/op
WorkloadActual   3: 1024 op, 644049292.00 ns, 628.9544 us/op
WorkloadActual   4: 1024 op, 647622500.00 ns, 632.4438 us/op
WorkloadActual   5: 1024 op, 657109459.00 ns, 641.7085 us/op
WorkloadActual   6: 1024 op, 647095833.00 ns, 631.9295 us/op
WorkloadActual   7: 1024 op, 656321791.00 ns, 640.9392 us/op
WorkloadActual   8: 1024 op, 645330667.00 ns, 630.2057 us/op
WorkloadActual   9: 1024 op, 645285750.00 ns, 630.1619 us/op
WorkloadActual  10: 1024 op, 652534292.00 ns, 637.2405 us/op
WorkloadActual  11: 1024 op, 645018500.00 ns, 629.9009 us/op
WorkloadActual  12: 1024 op, 642956750.00 ns, 627.8875 us/op
WorkloadActual  13: 1024 op, 644875125.00 ns, 629.7609 us/op
WorkloadActual  14: 1024 op, 643018208.00 ns, 627.9475 us/op
WorkloadActual  15: 1024 op, 650016666.00 ns, 634.7819 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 643915041.00 ns, 628.8233 us/op
WorkloadResult   2: 1024 op, 642235792.00 ns, 627.1834 us/op
WorkloadResult   3: 1024 op, 644047042.00 ns, 628.9522 us/op
WorkloadResult   4: 1024 op, 647620250.00 ns, 632.4417 us/op
WorkloadResult   5: 1024 op, 647093583.00 ns, 631.9273 us/op
WorkloadResult   6: 1024 op, 645328417.00 ns, 630.2035 us/op
WorkloadResult   7: 1024 op, 645283500.00 ns, 630.1597 us/op
WorkloadResult   8: 1024 op, 652532042.00 ns, 637.2383 us/op
WorkloadResult   9: 1024 op, 645016250.00 ns, 629.8987 us/op
WorkloadResult  10: 1024 op, 642954500.00 ns, 627.8853 us/op
WorkloadResult  11: 1024 op, 644872875.00 ns, 629.7587 us/op
WorkloadResult  12: 1024 op, 643015958.00 ns, 627.9453 us/op
WorkloadResult  13: 1024 op, 650014416.00 ns, 634.7797 us/op
// GC:  502 0 0 3149671504 1024
// Threading:  0 0 1024

// AfterAll
// Benchmark Process 88314 has exited with code 0.
// Launch: 3 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.Sequential(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 0 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

OverheadJitting  1: 1 op, 107875.00 ns, 107.8750 us/op
WorkloadJitting  1: 1 op, 3570667.00 ns, 3.5707 ms/op

OverheadJitting  2: 16 op, 297334.00 ns, 18.5834 us/op
WorkloadJitting  2: 16 op, 20266708.00 ns, 1.2667 ms/op

WorkloadPilot    1: 16 op, 18809584.00 ns, 1.1756 ms/op
WorkloadPilot    2: 32 op, 38114416.00 ns, 1.1911 ms/op
WorkloadPilot    3: 64 op, 81242750.00 ns, 1.2694 ms/op
WorkloadPilot    4: 128 op, 86177916.00 ns, 673.2650 us/op
WorkloadPilot    5: 256 op, 160932292.00 ns, 628.6418 us/op
WorkloadPilot    6: 512 op, 320446708.00 ns, 625.8725 us/op
WorkloadPilot    7: 1024 op, 638802083.00 ns, 623.8302 us/op

OverheadWarmup   1: 1024 op, 3250.00 ns, 3.1738 ns/op
OverheadWarmup   2: 1024 op, 2083.00 ns, 2.0342 ns/op
OverheadWarmup   3: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadWarmup   4: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadWarmup   5: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadWarmup   6: 1024 op, 2208.00 ns, 2.1563 ns/op

OverheadActual   1: 1024 op, 2834.00 ns, 2.7676 ns/op
OverheadActual   2: 1024 op, 2583.00 ns, 2.5225 ns/op
OverheadActual   3: 1024 op, 2625.00 ns, 2.5635 ns/op
OverheadActual   4: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual   5: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadActual   6: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadActual   7: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadActual   8: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual   9: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual  10: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  11: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  12: 1024 op, 2083.00 ns, 2.0342 ns/op
OverheadActual  13: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual  14: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadActual  15: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  16: 1024 op, 2166.00 ns, 2.1152 ns/op
OverheadActual  17: 1024 op, 2750.00 ns, 2.6855 ns/op
OverheadActual  18: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  19: 1024 op, 2291.00 ns, 2.2373 ns/op
OverheadActual  20: 1024 op, 2167.00 ns, 2.1162 ns/op

WorkloadWarmup   1: 1024 op, 647664709.00 ns, 632.4851 us/op
WorkloadWarmup   2: 1024 op, 642663167.00 ns, 627.6007 us/op
WorkloadWarmup   3: 1024 op, 642601667.00 ns, 627.5407 us/op
WorkloadWarmup   4: 1024 op, 656371417.00 ns, 640.9877 us/op
WorkloadWarmup   5: 1024 op, 638931750.00 ns, 623.9568 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 640792875.00 ns, 625.7743 us/op
WorkloadActual   2: 1024 op, 635302583.00 ns, 620.4127 us/op
WorkloadActual   3: 1024 op, 640913375.00 ns, 625.8920 us/op
WorkloadActual   4: 1024 op, 635693667.00 ns, 620.7946 us/op
WorkloadActual   5: 1024 op, 635514875.00 ns, 620.6200 us/op
WorkloadActual   6: 1024 op, 635689917.00 ns, 620.7909 us/op
WorkloadActual   7: 1024 op, 637175958.00 ns, 622.2421 us/op
WorkloadActual   8: 1024 op, 636146292.00 ns, 621.2366 us/op
WorkloadActual   9: 1024 op, 635040083.00 ns, 620.1563 us/op
WorkloadActual  10: 1024 op, 635647708.00 ns, 620.7497 us/op
WorkloadActual  11: 1024 op, 636760583.00 ns, 621.8365 us/op
WorkloadActual  12: 1024 op, 644038292.00 ns, 628.9436 us/op
WorkloadActual  13: 1024 op, 642929042.00 ns, 627.8604 us/op
WorkloadActual  14: 1024 op, 645714959.00 ns, 630.5810 us/op
WorkloadActual  15: 1024 op, 638598417.00 ns, 623.6313 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 640790646.00 ns, 625.7721 us/op
WorkloadResult   2: 1024 op, 635300354.00 ns, 620.4105 us/op
WorkloadResult   3: 1024 op, 640911146.00 ns, 625.8898 us/op
WorkloadResult   4: 1024 op, 635691438.00 ns, 620.7924 us/op
WorkloadResult   5: 1024 op, 635512646.00 ns, 620.6178 us/op
WorkloadResult   6: 1024 op, 635687688.00 ns, 620.7888 us/op
WorkloadResult   7: 1024 op, 637173729.00 ns, 622.2400 us/op
WorkloadResult   8: 1024 op, 636144063.00 ns, 621.2344 us/op
WorkloadResult   9: 1024 op, 635037854.00 ns, 620.1542 us/op
WorkloadResult  10: 1024 op, 635645479.00 ns, 620.7475 us/op
WorkloadResult  11: 1024 op, 636758354.00 ns, 621.8343 us/op
WorkloadResult  12: 1024 op, 644036063.00 ns, 628.9415 us/op
WorkloadResult  13: 1024 op, 642926813.00 ns, 627.8582 us/op
WorkloadResult  14: 1024 op, 645712730.00 ns, 630.5788 us/op
WorkloadResult  15: 1024 op, 638596188.00 ns, 623.6291 us/op
// GC:  502 0 0 3149671504 1024
// Threading:  0 0 1024

// AfterAll
// Benchmark Process 88320 has exited with code 0.

Mean = 625.812 us, StdErr = 0.679 us (0.11%), N = 41, StdDev = 4.349 us
Min = 620.154 us, Q1 = 622.240 us, Median = 625.435 us, Q3 = 628.941 us, Max = 637.238 us
IQR = 6.701 us, LowerFence = 612.188 us, UpperFence = 638.994 us
ConfidenceInterval = [623.401 us; 628.224 us] (CI 99.9%), Margin = 2.412 us (0.39% of Mean)
Skewness = 0.56, Kurtosis = 2.42, MValue = 2

// ** Remained 8 (88.9%) benchmark(s) to run. Estimated finish 2026-07-31 0:35 (0h 6m from now) **
// **************************
// Benchmark: ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
// *** Execute ***
// Launch: 1 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.ParallelFor(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 1 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
